track_id,track_name,artist_name,album_name,release_year,track_genre,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
e8B3QWVmwCEcHjUQ5Uw7zu,Blue Signal,Riven Hart,Hidden Memory,2019,rock,60,209832,FALSE,0.395,0.885,0,-6.123,0,0.166,0,0.13,0.167,0.649,92.88,4
iBPOD1JeVJNJIfIXsLbvB8,Blue Fire,Nova North,Midnight Dance,1996,electronic,55,184861,FALSE,0.746,0.682,2,-14.582,1,0.095,0.487,0.169,0.115,0.352,139.71,5
QNLw7fvhv7w4ERCqV8qWqS,Endless Shadows,Jade Hart,Dreaming Echo,2002,pop,76,214583,FALSE,0.59,0.75,8,-10.67,0,0.043,0.232,0.148,0.187,0.576,130.43,3
Ks59KBvLKsbj7zDCWefrEP,Silent Waves,Zara Lane,Wild Memory,2000,rock,69,300481,TRUE,0.479,0.898,5,-5.951,0,0.066,0.19,0.058,0.043,0.169,135.82,4
CY7tm7NsMF4p96lkHcsA89,Wild Memory,Nova Rhythm,Blue Dance,2010,metal,46,337065,FALSE,0.452,0.786,1,-14.027,1,0.006,0.241,0.267,0.171,0.305,130.98,5
8Ai5akoribQ8hsF5RVKzm1,Hidden Moon,Leo River,Summer Hearts,2005,soul,44,255382,FALSE,0.606,0.62,9,-10.903,0,0.01,0.364,0.171,0.073,0.865,101.95,4
rZpXCouGVL51ULrzhx5AhO,Falling Signal,Mira Miles,Wild Echo,1999,punk,50,237358,FALSE,0.492,0.814,3,-14.851,0,0.095,0.45,0.107,0.542,0.66,159.69,4
QZt9FT2X0HcEl3oopNJ6zr,Blue Moon,Mira Wave,Crystal Rhythm,2011,indie,46,245934,FALSE,0.446,0.426,0,-19.069,1,0.056,0.436,0.044,0.128,0.881,164.29,4
kzLouwFwTuAxlQosX6P40D,Crystal Road,Zara Hart,Wild Rhythm,1998,soul,70,199544,FALSE,0.763,0.617,5,-14.668,1,0.089,0.582,0.198,0.346,0.716,66.6,5
XfpSKdfGMkkiJaJDCQGTV5,Midnight Moon,Maya Moon,Lost Sunrise,2026,punk,95,255064,FALSE,0.603,0.976,9,-8.133,0,0.071,0,0.195,0.223,0.427,151.2,4
aS06Ahq02NhhDKcQHafCSZ,Silent Lights,Maya Moon,Silent Dreams,2024,hip-hop,81,220628,FALSE,0.851,0.499,11,-17.427,0,0.21,0.687,0.043,0.152,0.786,108.63,4
opdPX85hV0RYZBcCmhhRFH,Crystal Fire,Jade River,Northern Stars,2025,classical,15,148694,FALSE,0.333,0.293,8,-20.47,0,0.034,0.387,0.398,0.102,0.5,66.57,5
B6jjCFQz4Dih8i6rfsMAWL,Velvet Lights,Ivy Moon,Endless Memory,1999,classical,20,278697,FALSE,0.102,0.096,11,-28.732,0,0.056,1,0.279,0.101,0.386,106.46,3
XGZxEchde10YderJuEkTte,Falling Shadows Forever,Remy Wave,Golden Fire,2003,classical,48,210627,FALSE,0.089,0.02,8,-27.778,0,0.083,0.983,0.316,0.356,0.249,83.74,4
m0X9OiFB0yueZUcADD4jsl,Wild Dance,Echo Hart,Hidden Rhythm,2022,k-pop,87,309591,FALSE,0.924,0.905,11,-10.337,0,0.136,0,0.055,0.111,0.53,94.95,4
0KE0GGgby94MNylavtlqbL,Lost Shadows,Elio Rhythm,Silent Sunrise,1998,indie,56,178555,FALSE,0.676,0.505,11,-18.152,0,0.082,0.42,0.156,0.161,0.757,68.9,4
7E291Cu8ozeXOfnIHXq5BZ,Summer Moon II,Skye Gray,Crystal Moon,2014,hip-hop,32,149541,FALSE,0.772,0.757,0,-13.111,0,0.143,0.061,0.317,0.02,0.358,105.42,5
v3sRKByhrI21lQfPvBSAYH,Burning Waves,Milo Gray,Midnight Moon,2011,pop,41,87297,FALSE,0.576,0.713,11,-8.802,1,0.237,0.208,0.018,0.089,0.294,126.03,4
